Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US12832,ZCTA5 12832,6500,6263,19,38,6500,27
8600000US12833,ZCTA5 12833,4544,4382,17,42,4544,40
8600000US12834,ZCTA5 12834,6101,5831,48,64,6101,154
8600000US12835,ZCTA5 12835,2530,2460,18,0,2530,27
8600000US12836,ZCTA5 12836,605,588,0,4,605,13
8600000US12837,ZCTA5 12837,1140,1133,0,0,1140,0
8600000US12838,ZCTA5 12838,638,636,0,0,638,0
8600000US12839,ZCTA5 12839,13011,12037,131,89,13011,386
8600000US12841,ZCTA5 12841,148,148,0,0,148,0
8600000US12842,ZCTA5 12842,765,701,4,2,765,0
8600000US12843,ZCTA5 12843,482,475,0,0,482,6
8600000US12844,ZCTA5 12844,292,281,8,0,292,6
8600000US12845,ZCTA5 12845,4610,4371,78,58,4610,214
8600000US12846,ZCTA5 12846,3248,3211,22,0,3248,19
8600000US12847,ZCTA5 12847,400,378,13,0,400,16
8600000US12849,ZCTA5 12849,303,299,2,0,303,8
8600000US12850,ZCTA5 12850,2866,2685,163,0,2866,33
8600000US12851,ZCTA5 12851,353,334,3,0,353,0
8600000US12852,ZCTA5 12852,344,333,2,2,344,3
8600000US12853,ZCTA5 12853,1834,1671,36,23,1834,8
8600000US12855,ZCTA5 12855,244,232,0,0,244,32
8600000US12856,ZCTA5 12856,291,291,0,0,291,0
8600000US12857,ZCTA5 12857,684,679,0,5,684,4
8600000US12858,ZCTA5 12858,107,101,0,0,107,0
8600000US12859,ZCTA5 12859,2425,2412,0,0,2425,11
8600000US12860,ZCTA5 12860,480,455,0,0,480,0
8600000US12861,ZCTA5 12861,530,519,0,4,530,0
8600000US12862,ZCTA5 12862,0,0,0,0,0,0
8600000US12863,ZCTA5 12863,880,880,0,0,880,0
8600000US12864,ZCTA5 12864,13,13,0,0,13,0
