Data Year,County,ZIP Code,Numerator,Rate
2019,Saratoga,12170,14,272.3
2019,Columbia,12173,s,s
2019,Schoharie,12175,s,s
2019,Greene,12176,s,s
2019,Rensselaer,12180,236,436.5
2019,Rensselaer,12182,65,447.1
2019,Albany,12183,9,331.9*
2019,Columbia,12184,9,121.5*
2019,Rensselaer,12185,s,s
2019,Albany,12186,s,s
2019,Schoharie,12187,0,0.0*
2019,Saratoga,12188,9,84.7*
2019,Albany,12189,46,251.4
2019,Hamilton,12190,0,0.0*
2019,Greene,12192,8,416.4*
2019,Albany,12193,10,524.9
2019,Schoharie,12194,0,0.0*
2019,Rensselaer,12196,6,192.5*
2019,Otsego,12197,s,s
2019,Rensselaer,12198,10,126.1
2019,Albany,12202,148,1554.3
2019,Albany,12203,73,209
2019,Albany,12204,25,309.6
2019,Albany,12205,73,271.8
2019,Albany,12206,99,580.4
2019,Albany,12207,15,608
2019,Albany,12208,93,442
2019,Albany,12209,39,369.8
2019,Albany,12210,65,648.8
2019,Albany,12211,27,205.8
2019,Schenectady,12302,31,111.4
2019,Schenectady,12303,77,255.6
2019,Schenectady,12304,79,367.1
2019,Schenectady,12305,45,690.9
2019,Schenectady,12306,64,250.5
2019,Schenectady,12307,49,619.2
2019,Schenectady,12308,69,487.8
2019,Schenectady,12309,30,102.1
2019,Ulster,12401,291,846.4
2019,Ulster,12404,11,303.5
2019,Greene,12405,s,s
2019,Delaware,12406,s,s
2019,Ulster,12409,0,0.0*
2019,Ulster,12410,s,s
2019,Ulster,12411,s,s
2019,Ulster,12412,s,s
2019,Greene,12413,14,452.5
2019,Greene,12414,67,639.7
2019,Ulster,12416,0,0.0*
2019,Greene,12418,s,s
2019,Ulster,12419,s,s
2019,Delaware,12421,0,0.0*
2019,Greene,12422,0,0.0*
2019,Greene,12423,s,s
2019,Greene,12424,s,s
2019,Greene,12427,s,s
2019,Ulster,12428,47,604.7
2019,Delaware,12430,s,s
2019,Greene,12431,7,536.8*
2019,Ulster,12433,0,0.0*
2019,Ulster,12435,s,s
2019,Greene,12439,0,0.0*
2019,Ulster,12440,0,0.0*
2019,Greene,12442,7,799.1*
2019,Ulster,12443,11,296.3
2019,Greene,12444,0,0.0*
2019,Ulster,12446,42,723.8
2019,Ulster,12448,s,s
2019,Ulster,12449,7,210.8*
2019,Greene,12450,0,0.0*
2019,Greene,12451,10,646.4
2019,Greene,12454,0,0.0*
2019,Delaware,12455,0,0.0*
2019,Ulster,12456,15,2608.7
2019,Ulster,12457,s,s
2019,Ulster,12458,15,643.2
2019,Greene,12460,s,s
2019,Ulster,12461,6,391.6*
2019,Greene,12463,7,473.3*
2019,Ulster,12464,s,s
2019,Ulster,12465,s,s
2019,Ulster,12466,33,1370.4
2019,Greene,12468,s,s
2019,Albany,12469,0,0.0*
2019,Greene,12470,s,s
2019,Ulster,12472,s,s
2019,Greene,12473,s,s
2019,Delaware,12474,0,0.0*
2019,Ulster,12477,109,568.9
2019,Ulster,12480,0,0.0*
2019,Ulster,12481,s,s
2019,Greene,12482,6,1077.2*
2019,Ulster,12484,s,s
2019,Greene,12485,12,1194
2019,Ulster,12486,s,s
2019,Ulster,12487,14,403.7
2019,Ulster,12491,6,365.4*
2019,Greene,12492,s,s
2019,Ulster,12494,0,0.0*
2019,Ulster,12495,0,0.0*
2019,Greene,12496,s,s
2019,Ulster,12498,18,404.4
2019,Dutchess,12501,11,426.9
2019,Columbia,12502,s,s
2019,Columbia,12503,0,0.0*
2019,Dutchess,12507,0,0.0*
2019,Dutchess,12508,57,287.7
2019,Columbia,12513,s,s
2019,Dutchess,12514,s,s
2019,Ulster,12515,s,s
2019,Columbia,12516,9,516.6*
2019,Columbia,12517,s,s
2019,Orange,12518,7,116.3*
2019,Orange,12520,s,s
2019,Columbia,12521,s,s
2019,Dutchess,12522,18,350.3
2019,Columbia,12523,7,331.6*
2019,Dutchess,12524,58,364.2
2019,Ulster,12525,6,169.2*
2019,Columbia,12526,s,s
2019,Ulster,12528,34,235.8
2019,Columbia,12529,s,s
2019,Dutchess,12531,9,272.2*
2019,Dutchess,12533,73,284.7
2019,Columbia,12534,90,491.3
2019,Dutchess,12538,49,390.3
2019,Dutchess,12540,22,288.9
2019,Ulster,12542,22,387.6
2019,Orange,12543,7,232.5*
2019,Dutchess,12545,6,112.8*
2019,Dutchess,12546,9,284.4*
2019,Ulster,12547,7,257.9*
2019,Ulster,12548,10,871.1
2019,Orange,12549,32,301.5
2019,Orange,12550,185,340.9
2019,Orange,12553,62,245.6
2019,Ulster,12561,32,175.8
2019,Putnam,12563,6,70.9*
2019,Dutchess,12564,6,81.9*
2019,Ulster,12566,34,301.5
2019,Dutchess,12567,6,222.4*
2019,Dutchess,12569,22,228.1
2019,Dutchess,12570,23,324.8
2019,Dutchess,12571,10,92.9
2019,Dutchess,12572,17,180
2019,Orange,12575,s,s
2019,Orange,12577,0,0.0*
2019,Dutchess,12578,s,s
2019,Dutchess,12580,21,542.5
2019,Dutchess,12581,8,353.4*
2019,Dutchess,12582,21,317.6
2019,Dutchess,12583,s,s
2019,Dutchess,12585,0,0.0*
2019,Orange,12586,36,281.4
2019,Ulster,12589,52,299
2019,Dutchess,12590,101,292.7
2019,Dutchess,12592,6,475.4*
2019,Dutchess,12594,18,452.9
2019,Dutchess,12601,411,927.5
2019,Dutchess,12603,136,335.7
2019,Dutchess,12604,0,0.0*
2019,Sullivan,12701,83,730.9
2019,Sullivan,12719,7,633.5*
2019,Sullivan,12720,s,s
2019,Sullivan,12721,17,266.2
2019,Sullivan,12723,13,615.5
2019,Ulster,12725,0,0.0*
2019,Sullivan,12726,s,s
2019,Orange,12729,7,314.5*
2019,Sullivan,12732,7,872.8*
2019,Sullivan,12733,0,0.0*
2019,Sullivan,12734,9,836.4*
2019,Sullivan,12736,0,0.0*
2019,Sullivan,12737,s,s
2019,Sullivan,12738,0,0.0*
2019,Sullivan,12740,s,s
2019,Sullivan,12741,s,s
2019,Sullivan,12742,s,s
2019,Sullivan,12743,s,s
2019,Sullivan,12745,s,s
2019,Orange,12746,s,s
2019,Sullivan,12747,15,593.6
2019,Sullivan,12748,s,s
2019,Sullivan,12750,0,0.0*
2019,Sullivan,12751,s,s
2019,Sullivan,12752,s,s
2019,Sullivan,12754,46,637.8
2019,Sullivan,12758,21,474.5
2019,Sullivan,12759,7,751.9*
2019,Delaware,12760,s,s
2019,Sullivan,12762,12,2259.9
2019,Sullivan,12763,s,s
2019,Sullivan,12764,s,s
2019,Sullivan,12765,s,s
2019,Sullivan,12766,0,0.0*
2019,Sullivan,12768,s,s
2019,Sullivan,12770,s,s
2019,Orange,12771,126,882.3
2019,Sullivan,12775,15,604.4
2019,Sullivan,12776,8,359.2*
2019,Sullivan,12777,0,0.0*
2019,Sullivan,12779,9,380.1*
2019,Orange,12780,17,741.4
2019,Sullivan,12783,15,953
2019,Sullivan,12786,0,0.0*
2019,Sullivan,12787,s,s
2019,Sullivan,12788,10,517.1
2019,Sullivan,12789,10,371.9
2019,Sullivan,12790,21,371.9
2019,Sullivan,12791,0,0.0*
2019,Sullivan,12792,0,0.0*
2019,Warren,12801,25,180.3
2019,Saratoga,12803,7,86.0*
2019,Warren,12804,37,141.6
2019,Warren,12808,0,0.0*
2019,Washington,12809,s,s
2019,Warren,12810,0,0.0*
2019,Hamilton,12812,0,0.0*
2019,Warren,12814,s,s
2019,Warren,12815,0,0.0*
2019,Washington,12816,s,s
2019,Warren,12817,7,301.2*
2019,Washington,12819,0,0.0*
2019,Washington,12821,s,s
2019,Saratoga,12822,12,205.3
2019,Washington,12823,0,0.0*
2019,Warren,12824,0,0.0*
2019,Washington,12827,8,210.1*
2019,Washington,12828,18,181
2019,Saratoga,12831,9,51.3*
2019,Washington,12832,s,s
2019,Saratoga,12833,s,s
2019,Washington,12834,s,s
2019,Saratoga,12835,10,367.1
2019,Warren,12836,s,s
2019,Washington,12837,0,0.0*
2019,Washington,12838,s,s
2019,Washington,12839,21,157.9
2019,Hamilton,12842,0,0.0*
2019,Warren,12843,0,0.0*
2019,Washington,12844,0,0.0*
2019,Warren,12845,6,120.6*
2019,Warren,12846,s,s
2019,Hamilton,12847,0,0.0*
2019,Washington,12849,0,0.0*
2019,Saratoga,12850,s,s
2019,Essex,12851,0,0.0*
2019,Essex,12852,0,0.0*
2019,Warren,12853,s,s
2019,Essex,12855,0,0.0*
2019,Essex,12857,0,0.0*
2019,Essex,12858,0,0.0*
2019,Saratoga,12859,s,s
2019,Warren,12860,s,s
2019,Washington,12861,0,0.0*
2019,Saratoga,12863,s,s
2019,Washington,12865,s,s
2019,Saratoga,12866,55,142.5
2019,Essex,12870,s,s
2019,Saratoga,12871,s,s
2019,Washington,12873,0,0.0*
2019,Warren,12878,s,s
2019,Essex,12883,9,189.6*
2019,Warren,12885,6,125.2*
2019,Warren,12886,0,0.0*
2019,Washington,12887,s,s
2019,Clinton,12901,40,122.5
2019,Clinton,12903,s,s
2019,Clinton,12910,0,0.0*
2019,Clinton,12912,s,s
2019,Essex,12913,0,0.0*
2019,Franklin,12914,0,0.0*
2019,Franklin,12916,s,s
